strategy,observations,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,excess_cumulative_return,tracking_error,active_tracking_error_annualized,information_ratio,correlation,active_return_mean_daily,active_return_std_daily,experiment_name,base_experiment,te_target,lookback_days,min_active_scale,benchmark_cumulative_return,excess_cumulative_return_pct_point,average_active_scale,min_active_scale_realized
consensus_multiplier_balanced_te_overlay_08_10d_floor25,441,5.66724903179123,1.9568321558398463,0.5456191400662386,3.586443385403022,-0.33864315090485053,0.7084971823518744,0.07394875682383863,0.07394875682383863,0.900710723245062,0.990773256682693,0.000264311262864575,0.00465833381710161,consensus_multiplier_balanced_te_overlay_08_10d_floor25,consensus_multiplier_balanced,0.08,10,0.25,4.958751849439356,0.7084971823518744,0.9195940309051949,0.3335496936617849
consensus_multiplier_balanced_te_overlay_10_10d_floor75,441,5.682359637116438,1.960659637054941,0.547187479067899,3.5831588112995694,-0.33534721303469095,0.7236077876770821,0.07992969247821115,0.07992969247821115,0.8599482057973358,0.989273906960526,0.0002727595064943273,0.005035097349219445,consensus_multiplier_balanced_te_overlay_10_10d_floor75,consensus_multiplier_balanced,0.1,10,0.75,4.958751849439356,0.7236077876770821,0.9719860715185916,0.75
consensus_multiplier_balanced_te_overlay_08_10d_floor50,441,5.655827555146529,1.953936654784322,0.5456142504766017,3.5811686609679474,-0.33864315090485053,0.6970757057071735,0.07414555350433027,0.07414555350433027,0.885023692049224,0.9907237274976949,0.0002603990932993479,0.004670730842706942,consensus_multiplier_balanced_te_overlay_08_10d_floor50,consensus_multiplier_balanced,0.08,10,0.5,4.958751849439356,0.6970757057071735,0.9239542139423109,0.5
consensus_multiplier_return_focus_te_overlay_12_40d_floor75,441,5.782386392400913,1.9859032412600626,0.555300187954475,3.5762697084173727,-0.31694484005634316,0.8236345429615577,0.11899897060415127,0.11899897060415127,0.6846221666265802,0.976771985226168,0.0003232910042910586,0.007496230535506425,consensus_multiplier_return_focus_te_overlay_12_40d_floor75,consensus_multiplier_return_focus,0.12,40,0.75,4.958751849439356,0.8236345429615577,0.9298008735016967,0.75
consensus_multiplier_return_focus_te_overlay_10_60d_floor25,441,5.74017261643685,1.9752694062637732,0.5528613970701871,3.572811226704273,-0.3205945722559075,0.7814207669974946,0.1086674646988526,0.1086674646988526,0.705323301454906,0.9804948907494223,0.0003041495831830523,0.006845406838025104,consensus_multiplier_return_focus_te_overlay_10_60d_floor25,consensus_multiplier_return_focus,0.1,60,0.25,4.958751849439356,0.7814207669974946,0.8401581209721528,0.5580887676055422
consensus_multiplier_return_focus_te_overlay_10_60d_floor50,441,5.74017261643685,1.9752694062637732,0.5528613970701871,3.572811226704273,-0.3205945722559075,0.7814207669974946,0.1086674646988526,0.1086674646988526,0.705323301454906,0.9804948907494223,0.0003041495831830523,0.006845406838025104,consensus_multiplier_return_focus_te_overlay_10_60d_floor50,consensus_multiplier_return_focus,0.1,60,0.5,4.958751849439356,0.7814207669974946,0.8401581209721528,0.5580887676055422
consensus_multiplier_return_focus_te_overlay_08_10d_floor50,441,5.6467322432324485,1.9516293450313325,0.5467639277185633,3.5694186212589685,-0.3420691160358086,0.6879803937930928,0.09184103643731452,0.09184103643731452,0.7120750016269894,0.9857984146413231,0.0002595147070258934,0.00578544148960847,consensus_multiplier_return_focus_te_overlay_08_10d_floor50,consensus_multiplier_return_focus,0.08,10,0.5,4.958751849439356,0.6879803937930928,0.7959320720809947,0.5
consensus_multiplier_balanced_te_overlay_08_20d_floor25,441,5.650886129092122,1.9526832755948562,0.5471280745090527,3.5689692534001884,-0.33576000533152184,0.6921342796527661,0.0747348128521663,0.0747348128521663,0.8835304424836854,0.9906287743344167,0.00026202572328654723,0.004707850692518709,consensus_multiplier_balanced_te_overlay_08_20d_floor25,consensus_multiplier_balanced,0.08,20,0.25,4.958751849439356,0.6921342796527661,0.9178767028661989,0.46510521977604574
consensus_multiplier_return_focus_te_overlay_06_20d_floor25,441,5.617078509745772,1.9440973357971698,0.5447547383824695,3.568757091622082,-0.3481265721603579,0.6583266603064164,0.07108572542873311,0.07108572542873311,0.8705415423443661,0.9914507811136246,0.0002455677660849105,0.004477979791691622,consensus_multiplier_return_focus_te_overlay_06_20d_floor25,consensus_multiplier_return_focus,0.06,20,0.25,4.958751849439356,0.6583266603064164,0.6131465003208483,0.25314083652854913
consensus_multiplier_return_focus_te_overlay_08_60d_floor25,441,5.686069596358747,1.961598793775683,0.549738857300342,3.5682374780795083,-0.3242250785240821,0.7273177469193914,0.09327953824164942,0.09327953824164942,0.754594936761557,0.9855003048707169,0.0002793185208754154,0.005876058585674846,consensus_multiplier_return_focus_te_overlay_08_60d_floor25,consensus_multiplier_return_focus,0.08,60,0.25,4.958751849439356,0.7273177469193914,0.721799759900618,0.44647101408443374
consensus_multiplier_balanced_te_overlay_08_20d_floor50,441,5.648614452133126,1.9521069370482769,0.547127284684806,3.5679210152585688,-0.33576000533152184,0.6898626026937702,0.07476975184982619,0.07476975184982619,0.8804924258505841,0.9906199203819328,0.00026124682613690343,0.004710051642491708,consensus_multiplier_balanced_te_overlay_08_20d_floor50,consensus_multiplier_balanced,0.08,20,0.5,4.958751849439356,0.6898626026937702,0.9188792780523725,0.5
consensus_multiplier_return_focus_te_overlay_08_20d_floor75,441,5.702781548605917,1.965826570761375,0.5509964431821607,3.5677663532783788,-0.3327657818039117,0.7440296991665614,0.10419369744663176,0.10419369744663176,0.6953608272831558,0.9819577505658317,0.0002875087922784949,0.00656358599104984,consensus_multiplier_return_focus_te_overlay_08_20d_floor75,consensus_multiplier_return_focus,0.08,20,0.75,4.958751849439356,0.7440296991665614,0.8549120892763034,0.75
consensus_multiplier_balanced_te_overlay_10_20d_floor25,441,5.660419913161022,1.9551011363309474,0.5482666268295378,3.5659677986178253,-0.33516490394361786,0.7016680637216668,0.08061644798436433,0.08061644798436433,0.8364036509435371,0.9891337058412214,0.00026757099769929396,0.00507835887971434,consensus_multiplier_balanced_te_overlay_10_20d_floor25,consensus_multiplier_balanced,0.1,20,0.25,4.958751849439356,0.7016680637216668,0.9625770694498199,0.5813815247200572
consensus_multiplier_balanced_te_overlay_10_20d_floor50,441,5.660419913161022,1.9551011363309474,0.5482666268295378,3.5659677986178253,-0.33516490394361786,0.7016680637216668,0.08061644798436433,0.08061644798436433,0.8364036509435371,0.9891337058412214,0.00026757099769929396,0.00507835887971434,consensus_multiplier_balanced_te_overlay_10_20d_floor50,consensus_multiplier_balanced,0.1,20,0.5,4.958751849439356,0.7016680637216668,0.9625770694498199,0.5813815247200572
consensus_multiplier_balanced_te_overlay_08_60d_floor25,441,5.654628733088691,1.9536326135014361,0.5479181448772636,3.5655556067395056,-0.33517135433504963,0.6958768836493352,0.07941205304416117,0.07941205304416117,0.8407627689467176,0.989443549028819,0.00026494721271885937,0.0050024891299028625,consensus_multiplier_balanced_te_overlay_08_60d_floor25,consensus_multiplier_balanced,0.08,60,0.25,4.958751849439356,0.6958768836493352,0.92939842926185,0.7126366091684465
